Rank,Year,Season,Division,DivisionRank,Team,GP,W,L,OTL,SOL,PTS,PCT,RW,ROW,GF,GA,DIFF,L10,STRK,PIM,GR
26,2021,2021-2022,Central Division,6,Grand Rapids Griffins,76,33,35,6,2,74,0.487,23,31,209,240,-31,5-5-0-0,1-0-0-0,828,0
27,2021,2021-2022,Atlantic Division,7,Lehigh Valley Phantoms,76,29,32,10,5,73,0.48,25,27,195,239,-44,3-3-3-1,1-0-0-0,805,0
28,2021,2021-2022,Pacific Division,7,San Diego Gulls,68,28,33,4,3,63,0.463,27,27,197,223,-26,1-6-1-2,0-2-0-1,1015,0
29,2021,2021-2022,North Division,7,Cleveland Monsters,76,28,35,8,5,69,0.454,18,26,207,262,-55,4-6-0-0,0-1-0-0,1002,0
30,2021,2021-2022,Pacific Division,8,Tucson Roadrunners,68,23,39,5,1,52,0.382,17,20,182,268,-86,3-7-0-0,2-0-0-0,1033,0
31,2021,2021-2022,Pacific Division,9,San Jose Barracuda,68,20,42,4,2,46,0.338,17,18,202,291,-89,0-8-2-0,0-13-2-0,973,0
1,2020,2020-2021,North Division,1,Hershey Bears,33,24,7,2,0,50,0.758,20,23,110,77,33,8-2-0-0,4-0-0-0,575,0
2,2020,2020-2021,Canadian Division,1,Laval Rocket,36,23,9,3,1,50,0.694,21,22,113,87,26,4-4-2-0,0-3-1-0,433,0
3,2020,2020-2021,Central Division,1,Chicago Wolves,33,21,9,1,2,45,0.682,20,21,132,94,38,6-4-0-0,1-0-0-0,529,0
4,2020,2020-2021,Atlantic Division,1,Providence Bruins,25,15,6,2,2,34,0.68,14,15,78,60,18,4-3-1-2,1-0-1-2,356,0
5,2020,2020-2021,North Division,2,Lehigh Valley Phantoms,32,18,7,4,2,43,0.672,12,17,96,92,4,4-3-2-1,2-0-1-1,342,0
6,2020,2020-2021,Pacific Division,2,Henderson Silver Knights,39,25,13,0,1,51,0.654,22,24,125,102,23,5-4-0-1,0-1-0-1,497,0
7,2020,2020-2021,North Division,3,Syracuse Crunch,32,19,10,3,0,41,0.641,16,18,120,93,27,6-2-2-0,1-0-0-0,351,0
8,2020,2020-2021,Pacific Division,3,Bakersfield Condors,39,24,14,0,1,49,0.628,19,22,129,104,25,6-4-0-0,2-0-0-0,409,0
9,2020,2020-2021,Atlantic Division,2,Hartford Wolf Pack,24,14,9,1,0,29,0.604,11,14,82,74,8,7-3-0-0,0-1-0-0,315,0
10,2020,2020-2021,Central Division,5,Cleveland Monsters,29,16,10,1,2,35,0.603,13,15,101,86,15,5-3-0-2,0-1-0-0,410,0
11,2020,2020-2021,Pacific Division,1,San Diego Gulls,44,26,17,1,0,53,0.602,21,26,153,142,11,5-4-1-0,2-0-0-0,573,0
12,2020,2020-2021,North Division,4,Utica Comets,28,16,11,0,1,33,0.589,12,14,89,88,1,6-4-0-0,0-1-0-0,352,0
13,2020,2020-2021,Canadian Division,2,Manitoba Moose,36,18,13,3,2,41,0.569,13,16,109,102,7,5-2-1-2,0-2-1-1,362,0
14,2020,2020-2021,Central Division,4,Grand Rapids Griffins,32,16,12,3,1,36,0.563,15,16,96,97,-1,4-5-0-1,1-0-0-0,428,0
15,2020,2020-2021,Central Division,2,Iowa Wild,34,17,13,4,0,38,0.559,15,17,107,113,-6,7-3-0-0,0-1-0-0,644,0
16,2020,2020-2021,Canadian Division,3,Belleville Senators,35,18,16,1,0,37,0.529,16,17,102,111,-9,8-2-0-0,0-1-0-0,443,0
17,2020,2020-2021,Pacific Division,5,San Jose Barracuda,36,15,15,4,2,36,0.5,15,15,105,127,-22,4-6-0-0,0-4-0-0,465,0
18,2020,2020-2021,Pacific Division,6,Colorado Eagles,34,15,15,3,1,34,0.5,13,15,101,104,-3,3-6-1-0,0-1-1-0,318,0
